eventid init_us end_us type
<id087> #3->#3. Wnd[4500000-4725000]us. Type ESENSOR
<id090> #3->#3. Wnd[4500000-4725100]us. Type ISENSOR
<id091> #1->#1. Wnd[4800000-4875000]us. Type ESENSOR
<id094> #1->#1. Wnd[4800000-4875100]us. Type ISENSOR
<id092> #2->#2. Wnd[4800000-4950000]us. Type ESENSOR
<id095> #2->#2. Wnd[4800000-4950100]us. Type ISENSOR
<id093> #3->#3. Wnd[4800000-5025000]us. Type ESENSOR
<id096> #3->#3. Wnd[4800000-5025100]us. Type ISENSOR
<id097> #1->#1. Wnd[5100000-5175000]us. Type ESENSOR
<id100> #1->#1. Wnd[5100000-5175100]us. Type ISENSOR
<id098> #2->#2. Wnd[5100000-5250000]us. Type ESENSOR
<id101> #2->#2. Wnd[5100000-5250100]us. Type ISENSOR
<id099> #3->#3. Wnd[5100000-5325000]us. Type ESENSOR
<id102> #3->#3. Wnd[5100000-5325100]us. Type ISENSOR
<id103> #1->#1. Wnd[5400000-5475000]us. Type ESENSOR
<id106> #1->#1. Wnd[5400000-5475100]us. Type ISENSOR
<id104> #2->#2. Wnd[5400000-5550000]us. Type ESENSOR
<id107> #2->#2. Wnd[5400000-5550100]us. Type ISENSOR
<id105> #3->#3. Wnd[5400000-5625000]us. Type ESENSOR
<id108> #3->#3. Wnd[5400000-5625100]us. Type ISENSOR
<id109> #1->#1. Wnd[5700000-5775000]us. Type ESENSOR
<id112> #1->#1. Wnd[5700000-5775100]us. Type ISENSOR
<id110> #2->#2. Wnd[5700000-5850000]us. Type ESENSOR
<id113> #2->#2. Wnd[5700000-5850100]us. Type ISENSOR
<id111> #3->#3. Wnd[5700000-5925000]us. Type ESENSOR
<id114> #3->#3. Wnd[5700000-5925100]us. Type ISENSOR
<id115> #1->#1. Wnd[6000000-6075000]us. Type ESENSOR
<id118> #1->#1. Wnd[6000000-6075100]us. Type ISENSOR
<id116> #2->#2. Wnd[6000000-6150000]us. Type ESENSOR
<id119> #2->#2. Wnd[6000000-6150100]us. Type ISENSOR
<id117> #3->#3. Wnd[6000000-6225000]us. Type ESENSOR
<id120> #3->#3. Wnd[6000000-6225100]us. Type ISENSOR
<id121> #1->#1. Wnd[6300000-6375000]us. Type ESENSOR
<id124> #1->#1. Wnd[6300000-6375100]us. Type ISENSOR
<id122> #2->#2. Wnd[6300000-6450000]us. Type ESENSOR
<id125> #2->#2. Wnd[6300000-6450100]us. Type ISENSOR
<id123> #3->#3. Wnd[6300000-6525000]us. Type ESENSOR
<id126> #3->#3. Wnd[6300000-6525100]us. Type ISENSOR
<id127> #1->#1. Wnd[6600000-6675000]us. Type ESENSOR
<id130> #1->#1. Wnd[6600000-6675100]us. Type ISENSOR
<id128> #2->#2. Wnd[6600000-6750000]us. Type ESENSOR
<id131> #2->#2. Wnd[6600000-6750100]us. Type ISENSOR
<id129> #3->#3. Wnd[6600000-6825000]us. Type ESENSOR
<id132> #3->#3. Wnd[6600000-6825100]us. Type ISENSOR
<id133> #1->#1. Wnd[6900000-6975000]us. Type ESENSOR
<id136> #1->#1. Wnd[6900000-6975100]us. Type ISENSOR
<id134> #2->#2. Wnd[6900000-7050000]us. Type ESENSOR
<id137> #2->#2. Wnd[6900000-7050100]us. Type ISENSOR
<id135> #3->#3. Wnd[6900000-7125000]us. Type ESENSOR
<id138> #3->#3. Wnd[6900000-7125100]us. Type ISENSOR
<id139> #1->#1. Wnd[7200000-7275000]us. Type ESENSOR
<id142> #1->#1. Wnd[7200000-7275100]us. Type ISENSOR
<id140> #2->#2. Wnd[7200000-7350000]us. Type ESENSOR
<id143> #2->#2. Wnd[7200000-7350100]us. Type ISENSOR
<id141> #3->#3. Wnd[7200000-7425000]us. Type ESENSOR
<id144> #3->#3. Wnd[7200000-7425100]us. Type ISENSOR
<id145> #1->#1. Wnd[7500000-7575000]us. Type ESENSOR
<id148> #1->#1. Wnd[7500000-7575100]us. Type ISENSOR
<id146> #2->#2. Wnd[7500000-7650000]us. Type ESENSOR
<id149> #2->#2. Wnd[7500000-7650100]us. Type ISENSOR
<id147> #3->#3. Wnd[7500000-7725000]us. Type ESENSOR
<id150> #3->#3. Wnd[7500000-7725100]us. Type ISENSOR
<id151> #1->#1. Wnd[7800000-7875000]us. Type ESENSOR
<id154> #1->#1. Wnd[7800000-7875100]us. Type ISENSOR
<id152> #2->#2. Wnd[7800000-7950000]us. Type ESENSOR
<id155> #2->#2. Wnd[7800000-7950100]us. Type ISENSOR
<id153> #3->#3. Wnd[7800000-8025000]us. Type ESENSOR
<id156> #3->#3. Wnd[7800000-8025100]us. Type ISENSOR
<id157> #1->#1. Wnd[8100000-8175000]us. Type ESENSOR
<id160> #1->#1. Wnd[8100000-8175100]us. Type ISENSOR
<id158> #2->#2. Wnd[8100000-8250000]us. Type ESENSOR
<id161> #2->#2. Wnd[8100000-8250100]us. Type ISENSOR
<id159> #3->#3. Wnd[8100000-8325000]us. Type ESENSOR
<id162> #3->#3. Wnd[8100000-8325100]us. Type ISENSOR
<id163> #1->#1. Wnd[8400000-8475000]us. Type ESENSOR
<id166> #1->#1. Wnd[8400000-8475100]us. Type ISENSOR
<id164> #2->#2. Wnd[8400000-8550000]us. Type ESENSOR
<id167> #2->#2. Wnd[8400000-8550100]us. Type ISENSOR
<id165> #3->#3. Wnd[8400000-8625000]us. Type ESENSOR
<id168> #3->#3. Wnd[8400000-8625100]us. Type ISENSOR
<id169> #1->#1. Wnd[8700000-8775000]us. Type ESENSOR
<id172> #1->#1. Wnd[8700000-8775100]us. Type ISENSOR
<id170> #2->#2. Wnd[8700000-8850000]us. Type ESENSOR
<id173> #2->#2. Wnd[8700000-8850100]us. Type ISENSOR
<id171> #3->#3. Wnd[8700000-8925000]us. Type ESENSOR
<id174> #3->#3. Wnd[8700000-8925100]us. Type ISENSOR
<id175> #1->#1. Wnd[9000000-9075000]us. Type ESENSOR
<id178> #1->#1. Wnd[9000000-9075100]us. Type ISENSOR
<id176> #2->#2. Wnd[9000000-9150000]us. Type ESENSOR
<id179> #2->#2. Wnd[9000000-9150100]us. Type ISENSOR
<id177> #3->#3. Wnd[9000000-9225000]us. Type ESENSOR
<id180> #3->#3. Wnd[9000000-9225100]us. Type ISENSOR
<id181> #1->#1. Wnd[9300000-9375000]us. Type ESENSOR
<id184> #1->#1. Wnd[9300000-9375100]us. Type ISENSOR
<id182> #2->#2. Wnd[9300000-9450000]us. Type ESENSOR
<id185> #2->#2. Wnd[9300000-9450100]us. Type ISENSOR
<id183> #3->#3. Wnd[9300000-9525000]us. Type ESENSOR
<id186> #3->#3. Wnd[9300000-9525100]us. Type ISENSOR
<id187> #1->#1. Wnd[9600000-9675000]us. Type ESENSOR
<id190> #1->#1. Wnd[9600000-9675100]us. Type ISENSOR
<id188> #2->#2. Wnd[9600000-9750000]us. Type ESENSOR
<id191> #2->#2. Wnd[9600000-9750100]us. Type ISENSOR
<id189> #3->#3. Wnd[9600000-9825000]us. Type ESENSOR
<id192> #3->#3. Wnd[9600000-9825100]us. Type ISENSOR
<id193> #1->#1. Wnd[9900000-9975000]us. Type ESENSOR
<id196> #1->#1. Wnd[9900000-9975100]us. Type ISENSOR
<id194> #2->#2. Wnd[9900000-10050000]us. Type ESENSOR
<id197> #2->#2. Wnd[9900000-10050100]us. Type ISENSOR
<id195> #3->#3. Wnd[9900000-10125000]us. Type ESENSOR
<id198> #3->#3. Wnd[9900000-10125100]us. Type ISENSOR
<id199> #1->#1. Wnd[10200000-10275000]us. Type ESENSOR
<id202> #1->#1. Wnd[10200000-10275100]us. Type ISENSOR
<id200> #2->#2. Wnd[10200000-10350000]us. Type ESENSOR
<id203> #2->#2. Wnd[10200000-10350100]us. Type ISENSOR
<id201> #3->#3. Wnd[10200000-10425000]us. Type ESENSOR
<id204> #3->#3. Wnd[10200000-10425100]us. Type ISENSOR
<id205> #1->#1. Wnd[10500000-10575000]us. Type ESENSOR
<id208> #1->#1. Wnd[10500000-10575100]us. Type ISENSOR
<id206> #2->#2. Wnd[10500000-10650000]us. Type ESENSOR
<id209> #2->#2. Wnd[10500000-10650100]us. Type ISENSOR
<id207> #3->#3. Wnd[10500000-10725000]us. Type ESENSOR
<id210> #3->#3. Wnd[10500000-10725100]us. Type ISENSOR
<id211> #1->#1. Wnd[10800000-10875000]us. Type ESENSOR
<id214> #1->#1. Wnd[10800000-10875100]us. Type ISENSOR
<id212> #2->#2. Wnd[10800000-10950000]us. Type ESENSOR
<id215> #2->#2. Wnd[10800000-10950100]us. Type ISENSOR
<id213> #3->#3. Wnd[10800000-11025000]us. Type ESENSOR
<id216> #3->#3. Wnd[10800000-11025100]us. Type ISENSOR
<id217> #1->#1. Wnd[11100000-11175000]us. Type ESENSOR
<id220> #1->#1. Wnd[11100000-11175100]us. Type ISENSOR
<id218> #2->#2. Wnd[11100000-11250000]us. Type ESENSOR
<id221> #2->#2. Wnd[11100000-11250100]us. Type ISENSOR
<id223> #1->#2. Wnd[11290853-11290986]us. Type 80211
<id223> #1->#2. Wnd[11290853-11290986]us. Type 80211
<id224> #1->#3. Wnd[11291855-11291988]us. Type 80211
<id224> #1->#3. Wnd[11291855-11291988]us. Type 80211
<id219> #3->#3. Wnd[11100000-11325000]us. Type ESENSOR
<id222> #3->#3. Wnd[11100000-11325100]us. Type ISENSOR
<id225> #1->#1. Wnd[11400000-11475000]us. Type ESENSOR
<id228> #1->#1. Wnd[11400000-11475100]us. Type ISENSOR
<id226> #2->#2. Wnd[11400000-11550000]us. Type ESENSOR
<id229> #2->#2. Wnd[11400000-11550100]us. Type ISENSOR
<id227> #3->#3. Wnd[11400000-11625000]us. Type ESENSOR
<id230> #3->#3. Wnd[11400000-11625100]us. Type ISENSOR
<id231> #1->#1. Wnd[11700000-11775000]us. Type ESENSOR
<id234> #1->#1. Wnd[11700000-11775100]us. Type ISENSOR
<id232> #2->#2. Wnd[11700000-11850000]us. Type ESENSOR
<id235> #2->#2. Wnd[11700000-11850100]us. Type ISENSOR
<id233> #3->#3. Wnd[11700000-11925000]us. Type ESENSOR
<id236> #3->#3. Wnd[11700000-11925100]us. Type ISENSOR
<id237> #1->#1. Wnd[12000000-12075000]us. Type ESENSOR
<id240> #1->#1. Wnd[12000000-12075100]us. Type ISENSOR
<id238> #2->#2. Wnd[12000000-12150000]us. Type ESENSOR
<id241> #2->#2. Wnd[12000000-12150100]us. Type ISENSOR
<id243> #1->#2. Wnd[12190853-12190986]us. Type 80211
<id243> #1->#2. Wnd[12190853-12190986]us. Type 80211
<id244> #1->#3. Wnd[12191846-12191979]us. Type 80211
<id244> #1->#3. Wnd[12191846-12191979]us. Type 80211
<id239> #3->#3. Wnd[12000000-12225000]us. Type ESENSOR
<id242> #3->#3. Wnd[12000000-12225100]us. Type ISENSOR
