eventid init_us end_us type
<id079> #1->#1. Wnd[3600000-3675000]us. Type ESENSOR
<id082> #1->#1. Wnd[3600000-3675100]us. Type ISENSOR
<id080> #2->#2. Wnd[3600000-3750000]us. Type ESENSOR
<id083> #2->#2. Wnd[3600000-3750100]us. Type ISENSOR
<id085> #2->#1. Wnd[3750243-3750376]us. Type 80211
<id085> #2->#1. Wnd[3750243-3750376]us. Type 80211
<id086> #2->#3. Wnd[3751246-3751379]us. Type 80211
<id086> #2->#3. Wnd[3751246-3751379]us. Type 80211
<id087> #1->#2. Wnd[3786441-3786574]us. Type 80211
<id087> #1->#2. Wnd[3786441-3786574]us. Type 80211
<id088> #1->#3. Wnd[3787441-3787574]us. Type 80211
<id088> #1->#3. Wnd[3787441-3787574]us. Type 80211
<id081> #3->#3. Wnd[3600000-3825000]us. Type ESENSOR
<id084> #3->#3. Wnd[3600000-3825100]us. Type ISENSOR
<id089> #1->#1. Wnd[3900000-3975000]us. Type ESENSOR
<id092> #1->#1. Wnd[3900000-3975100]us. Type ISENSOR
<id090> #2->#2. Wnd[3900000-4050000]us. Type ESENSOR
<id093> #2->#2. Wnd[3900000-4050100]us. Type ISENSOR
<id091> #3->#3. Wnd[3900000-4125000]us. Type ESENSOR
<id094> #3->#3. Wnd[3900000-4125100]us. Type ISENSOR
<id101> #3->#1. Wnd[4213910-4214043]us. Type 80211
<id101> #3->#1. Wnd[4213910-4214043]us. Type 80211
<id102> #3->#2. Wnd[4214905-4215038]us. Type 80211
<id102> #3->#2. Wnd[4214905-4215038]us. Type 80211
<id095> #1->#1. Wnd[4200000-4275000]us. Type ESENSOR
<id098> #1->#1. Wnd[4200000-4275100]us. Type ISENSOR
<id096> #2->#2. Wnd[4200000-4350000]us. Type ESENSOR
<id099> #2->#2. Wnd[4200000-4350100]us. Type ISENSOR
<id097> #3->#3. Wnd[4200000-4425000]us. Type ESENSOR
<id100> #3->#3. Wnd[4200000-4425100]us. Type ISENSOR
<id103> #1->#1. Wnd[4500000-4575000]us. Type ESENSOR
<id106> #1->#1. Wnd[4500000-4575100]us. Type ISENSOR
<id104> #2->#2. Wnd[4500000-4650000]us. Type ESENSOR
<id107> #2->#2. Wnd[4500000-4650100]us. Type ISENSOR
<id105> #3->#3. Wnd[4500000-4725000]us. Type ESENSOR
<id108> #3->#3. Wnd[4500000-4725100]us. Type ISENSOR
<id109> #1->#1. Wnd[4800000-4875000]us. Type ESENSOR
<id112> #1->#1. Wnd[4800000-4875100]us. Type ISENSOR
<id110> #2->#2. Wnd[4800000-4950000]us. Type ESENSOR
<id113> #2->#2. Wnd[4800000-4950100]us. Type ISENSOR
<id111> #3->#3. Wnd[4800000-5025000]us. Type ESENSOR
<id114> #3->#3. Wnd[4800000-5025100]us. Type ISENSOR
